DATE,CITY,PRCP,z_PRCP,abs_score
2023-07-02,Chicago,3.35,885.9487247336286,885.9487247336286
2023-09-29,NYC,5.48,724.5578947586886,724.5578947586886
2025-11-17,LA,0.74,195.40763254577044,195.40763254577044
2023-03-29,LA,0.92,121.32659583596192,121.32659583596192
2024-11-13,Chicago,0.57,116.22969868817029,116.22969868817029
2023-02-27,LA,0.42,110.74359059170357,110.74359059170357
2023-04-30,NYC,2.32,108.77853886092292,108.77853886092292
2023-12-20,LA,0.41,108.09783928063896,108.09783928063896
2023-09-26,Chicago,0.36,94.86908272531602,94.86908272531602
2024-02-19,LA,1.05,92.22333141425146,92.22333141425146
2023-01-03,Chicago,1.12,91.03936877344148,91.03936877344148
2026-02-19,LA,0.96,84.28607748105767,84.28607748105767
2023-02-28,LA,0.94,82.52224327368128,82.52224327368128
2025-02-13,LA,2.8,81.93429853788913,81.93429853788913
2025-09-07,NYC,0.63,79.52689779268063,79.52689779268063
